Date,LocalName,Name,CountryCode,Fixed,Global,LaunchYear,Type,Counties
2024-07-13,Sommerferie,Summer Holiday,DK,False,False,,School,
2024-07-14,Sommerferie,Summer Holiday,DK,False,False,,School,
2024-07-15,Sommerferie,Summer Holiday,DK,False,False,,School,
2024-07-16,Sommerferie,Summer Holiday,DK,False,False,,School,
2024-07-17,Sommerferie,Summer Holiday,DK,False,False,,School,
2024-07-18,Sommerferie,Summer Holiday,DK,False,False,,School,
2024-07-19,Sommerferie,Summer Holiday,DK,False,False,,School,
2024-07-20,Sommerferie,Summer Holiday,DK,False,False,,School,
2024-07-21,Sommerferie,Summer Holiday,DK,False,False,,School,
2024-07-22,Sommerferie,Summer Holiday,DK,False,False,,School,
2024-07-23,Sommerferie,Summer Holiday,DK,False,False,,School,
2024-07-24,Sommerferie,Summer Holiday,DK,False,False,,School,
2024-07-25,Sommerferie,Summer Holiday,DK,False,False,,School,
2024-07-26,Sommerferie,Summer Holiday,DK,False,False,,School,
2024-07-27,Sommerferie,Summer Holiday,DK,False,False,,School,
2024-07-28,Sommerferie,Summer Holiday,DK,False,False,,School,
2024-07-29,Sommerferie,Summer Holiday,DK,False,False,,School,
2024-07-30,Sommerferie,Summer Holiday,DK,False,False,,School,
2024-07-31,Sommerferie,Summer Holiday,DK,False,False,,School,
2024-08-01,Sommerferie,Summer Holiday,DK,False,False,,School,
2024-08-02,Sommerferie,Summer Holiday,DK,False,False,,School,
2024-08-03,Sommerferie,Summer Holiday,DK,False,False,,School,
2024-08-04,Sommerferie,Summer Holiday,DK,False,False,,School,
2024-08-05,Sommerferie,Summer Holiday,DK,False,False,,School,
2024-08-06,Sommerferie,Summer Holiday,DK,False,False,,School,
2024-08-07,Sommerferie,Summer Holiday,DK,False,False,,School,
2024-08-08,Sommerferie,Summer Holiday,DK,False,False,,School,
2024-08-09,Sommerferie,Summer Holiday,DK,False,False,,School,
2024-08-10,Sommerferie,Summer Holiday,DK,False,False,,School,
2024-08-11,Sommerferie,Summer Holiday,DK,False,False,,School,
2024-10-12,Efterårsferie,Autumn Holiday,DK,False,False,,School,
2024-10-13,Efterårsferie,Autumn Holiday,DK,False,False,,School,
2024-10-14,Efterårsferie,Autumn Holiday,DK,False,False,,School,
2024-10-15,Efterårsferie,Autumn Holiday,DK,False,False,,School,
2024-10-16,Efterårsferie,Autumn Holiday,DK,False,False,,School,
2024-10-17,Efterårsferie,Autumn Holiday,DK,False,False,,School,
2024-10-18,Efterårsferie,Autumn Holiday,DK,False,False,,School,
2024-10-19,Efterårsferie,Autumn Holiday,DK,False,False,,School,
2024-10-20,Efterårsferie,Autumn Holiday,DK,False,False,,School,
