#,Event Id,Event Name,Event Type,Player Id,Attending What,Age,Gender,Nationality,Disability,Event Date,Event Name,Zone
74,507,Hørgården - Street football,Street Football,2206120068,No,7,Male,,No,8/29/2023,Hørgården - Street football,Hørgården - København
75,507,Hørgården - Street football,Street Football,2306120083,No,8,Male,,No,8/29/2023,Hørgården - Street football,Hørgården - København
76,507,Hørgården - Street football,Street Football,2106120031,No,12,Male,,No,9/5/2023,Hørgården - Street football,Hørgården - København
77,507,Hørgården - Street football,Street Football,2206120066,No,8,Male,,No,9/5/2023,Hørgården - Street football,Hørgården - København
78,507,Hørgården - Street football,Street Football,2306120073,No,9,Female,,No,9/5/2023,Hørgården - Street football,Hørgården - København
79,507,Hørgården - Street football,Street Football,2106120028,"Yes, Something else than sport",6,Male,,No,9/5/2023,Hørgården - Street football,Hørgården - København
80,507,Hørgården - Street football,Street Football,2306120084,No,11,Male,,No,9/5/2023,Hørgården - Street football,Hørgården - København
81,507,Hørgården - Street football,Street Football,2306120085,No,8,Male,,No,9/5/2023,Hørgården - Street football,Hørgården - København
82,507,Hørgården - Street football,Street Football,2306120086,No,8,Male,,No,9/5/2023,Hørgården - Street football,Hørgården - København
83,507,Hørgården - Street football,Street Football,2106120031,No,12,Male,,No,9/12/2023,Hørgården - Street football,Hørgården - København
84,507,Hørgården - Street football,Street Football,2206120068,No,7,Male,,No,9/12/2023,Hørgården - Street football,Hørgården - København
85,507,Hørgården - Street football,Street Football,2306120083,No,8,Male,,No,9/12/2023,Hørgården - Street football,Hørgården - København
86,507,Hørgården - Street football,Street Football,2106120031,No,12,Male,,No,9/26/2023,Hørgården - Street football,Hørgården - København
87,507,Hørgården - Street football,Street Football,2206120068,No,7,Male,,No,9/26/2023,Hørgården - Street football,Hørgården - København
88,507,Hørgården - Street football,Street Football,2306120087,No,8,Male,,No,9/26/2023,Hørgården - Street football,Hørgården - København
89,507,Hørgården - Street football,Street Football,2306120083,No,8,Male,,No,9/26/2023,Hørgården - Street football,Hørgården - København
90,507,Hørgården - Street football,Street Football,2106120028,"Yes, Something else than sport",6,Male,,No,10/17/2023,Hørgården - Street football,Hørgården - København
91,507,Hørgården - Street football,Street Football,2206120063,No,9,Male,,No,10/17/2023,Hørgården - Street football,Hørgården - København
